Name:string,Calls:timestampu,Excl Count Min:timestampu,Excl Count Max:timestampu,Excl Count Average,Excl Count Total:float:decimal,Incl Count Min:timestampu,Incl Count Max:timestampu,Incl Count Average,Incl Count Total:float:decimal,Filename:string,Line Number:uinteger,Start Address:uinteger,
"ocb_crypt(unsigned char *, unsigned char *, unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned int, int)",6,330,911,695.166667,4171.000000,5096,13361,10472.666667,62836.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\ocb.c,121,2147488832,
"ocb_decrypt(unsigned char *, unsigned char *, unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned int)",3,14,14,14.000000,42.000000,6070,13375,10940.000000,32820.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\ocb.c,258,2147490468,
"ocb_encrypt(unsigned char *, unsigned char *, unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned int)",3,14,14,14.000000,42.000000,5110,12495,10033.333333,30100.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\ocb.c,250,2147490436,
"random_byte(unsigned char *, unsigned int *)",8,90,90,90.000000,720.000000,290,306,300.375000,2403.000000,U:\Documents\CRYPTO\DSP\Release\..\bbs\bbs.c,22,2147513696,
"reply_master(unsigned char *, unsigned char *, unsigned char *)",1,103,103,103.000000,103.000000,264255147,264255147,264255147.000000,264255147.000000,U:\Documents\CRYPTO\DSP\Release\..\sts\sts_slave.c,49,2147503056,
"reply_slave(unsigned char *, unsigned char *)",1,44,44,44.000000,44.000000,245745862,245745862,245745862.000000,245745862.000000,U:\Documents\CRYPTO\DSP\Release\..\sts\sts_master.c,105,2147503816,
"RSASSA_PKCS1_V1_5_SIGN(unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned char *, unsigned char *, unsigned char *, unsigned int)",2,1609,1609,1609.000000,3218.000000,245731921,250262462,247997191.500000,495994383.000000,U:\Documents\CRYPTO\DSP\Release\..\asymmetric\signatures.c,94,2147497576,
"RSASSA_PKCS1V1_5_VERIFY(unsigned char *, unsigned int, unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned char *, unsigned char *)",2,3031,3031,3031.000000,6062.000000,3270100,3273085,3271592.500000,6543185.000000,U:\Documents\CRYPTO\DSP\Release\..\asymmetric\signatures.c,132,2147497856,
"s_create_packet(unsigned char *, unsigned char *, unsigned char, unsigned char)",1,65,65,65.000000,65.000000,264255240,264255240,264255240.000000,264255240.000000,U:\Documents\CRYPTO\DSP\Release\..\packman\packman_slave.c,41,2147502308,
"s_validate_packet(unsigned char *, unsigned char *)",3,90,94,92.666667,278.000000,146,10276526,3428043.000000,10284129.000000,U:\Documents\CRYPTO\DSP\Release\..\packman\packman_slave.c,61,2147501652,
"SHA256_Final(unsigned char *, struct _SHA256_CTX *)",10,155,174,162.600000,1626.000000,1072,1977,1434.000000,14340.000000,U:\Documents\CRYPTO\DSP\Release\..\ciphers\sha2\sha2.c,574,2147491920,
SHA256_Init(struct _SHA256_CTX *),10,20,20,20.000000,200.000000,51,51,51.000000,510.000000,U:\Documents\CRYPTO\DSP\Release\..\ciphers\sha2\sha2.c,342,2147491812,
"SHA256_Transform(struct _SHA256_CTX *, unsigned int *)",30,864,864,864.000000,25920.000000,864,864,864.000000,25920.000000,U:\Documents\CRYPTO\DSP\Release\..\ciphers\sha2\sha2.c,446,2147490528,
"SHA256_Update(struct _SHA256_CTX *, unsigned char *, unsigned int)",10,59,108,78.600000,786.000000,71,3592,1479.400000,14794.000000,U:\Documents\CRYPTO\DSP\Release\..\ciphers\sha2\sha2.c,526,2147491244,
"validate_data_packet(unsigned char *, unsigned char *)",1,43,43,43.000000,43.000000,7367,7367,7367.000000,7367.000000,U:\Documents\CRYPTO\DSP\Release\..\packman\packman_slave.c,33,2147501536,
"validate_master(unsigned char *, unsigned char *)",1,57,57,57.000000,57.000000,10276432,10276432,10276432.000000,10276432.000000,U:\Documents\CRYPTO\DSP\Release\..\sts\sts_slave.c,87,2147502696,
"validate_slave(unsigned char *, unsigned char *)",1,71,71,71.000000,71.000000,9879747,9879747,9879747.000000,9879747.000000,U:\Documents\CRYPTO\DSP\Release\..\sts\sts_master.c,73,2147503560,
"xor_block(unsigned char *, unsigned char *, unsigned char *)",200,121,121,121.000000,24200.000000,121,121,121.000000,24200.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\ocb.c,41,2147488236,
